,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
1195,Kepler-1424 b,0.10300000000000001,0.013999999999999999,-0.011000000000000001,Morton et al. 2016,,,,Morton et al. 2016,29.60936754,1.999e-05,-1.999e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.07,0.14,-0.09,Morton et al. 2016,1.02,0.046,-0.041,Morton et al. 2016,[Fe/H],0.01,,5838.0,Kepler,Space,,0.12135922330097088,,6.751241806497566e-07,,0.10747663551401869,0.042647058823529406,,
1196,Kepler-1425 b,0.139,0.006999999999999999,-0.011000000000000001,Berger et al. 2018,,,,Morton et al. 2016,14.45421833,0.00015519,-0.00015519,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.7,0.07,-0.07,Berger et al. 2018,0.97,0.071,-0.07,Morton et al. 2016,[Fe/H],-0.03,,5718.0,Kepler,Space,,0.06474820143884892,,1.0736658078417169e-05,,0.0411764705882353,0.07268041237113403,,
1197,Kepler-1426 b,0.139,0.028999999999999998,-0.015,Morton et al. 2016,,,,Morton et al. 2016,14.2561924,0.00015831,-0.00015831,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.02,0.21,-0.09,Morton et al. 2016,1.02,0.055,-0.059,Morton et al. 2016,[Fe/H],0.03,,5831.0,Kepler,Space,,0.15827338129496402,,1.1104648110669437e-05,,0.14705882352941177,0.055882352941176466,,
1198,Kepler-1427 b,0.098,0.021,-0.011000000000000001,Morton et al. 2016,,,,Morton et al. 2016,0.9689707,3.88e-06,-3.88e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.01,0.2,-0.1,Morton et al. 2016,1.01,0.065,-0.066,Morton et al. 2016,[Fe/H],0.06,,5793.0,Kepler,Space,,0.16326530612244897,,4.004249044888561e-06,,0.14851485148514854,0.06485148514851485,,
1199,Kepler-1428 b,0.146,0.012,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,10.676185,1.087e-05,-1.087e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.36,0.1,-0.08,Morton et al. 2016,1.28,0.032,-0.029,Morton et al. 2016,[Fe/H],0.35,,6184.0,Kepler,Space,,0.07191780821917809,,1.0181539566802186e-06,,0.06617647058823528,0.023828125,,
1200,Kepler-1429 b,0.11699999999999999,0.011000000000000001,-0.012,Berger et al. 2018,,,,Morton et al. 2016,4.48490091,3.706e-05,-3.706e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.11,0.09,-0.08,Berger et al. 2018,1.05,0.062,-0.058,Morton et al. 2016,[Fe/H],0.04,,5902.0,Kepler,Space,,0.09829059829059829,,8.263281785639273e-06,,0.07657657657657656,0.05714285714285714,,
1201,Kepler-143 b,0.192,0.037000000000000005,-0.032,Morton et al. 2016,,,,Rowe et al. 2014,16.00749754,5.689e-05,-5.689e-05,Morton et al. 2016,0.127,,,Rowe et al. 2014,1.34,0.06,-0.06,Berger et al. 2018,1.06,0.061,-0.054,Morton et al. 2016,,,,5848.0,Kepler,Space,,0.1796875,,3.5539596278457403e-06,,0.04477611940298507,0.05424528301886792,,
1202,Kepler-143 c,0.297,0.013999999999999999,-0.046,Berger et al. 2018,,,,Rowe et al. 2014,27.08245399,3.74e-06,-3.74e-06,Holczer et al. 2016,0.181,,,Rowe et al. 2014,1.34,0.06,-0.06,Berger et al. 2018,1.06,0.061,-0.054,Morton et al. 2016,,,,5848.0,Kepler,Space,,0.10101010101010101,,1.3809679142743004e-07,,0.04477611940298507,0.05424528301886792,,
1203,Kepler-1430 b,0.105,0.008,-0.006999999999999999,Morton et al. 2016,,,,Morton et al. 2016,2.46050993,1.273e-05,-1.273e-05,Morton et al. 2016,,,,Morton et al. 2016,0.72,0.02,-0.04,Morton et al. 2016,0.77,0.035,-0.048,Morton et al. 2016,[Fe/H],-0.03,,4796.0,Kepler,Space,,0.07142857142857142,,5.173724293809292e-06,,0.041666666666666664,0.0538961038961039,,
1204,Kepler-1431 b,0.161,0.015,-0.017,Berger et al. 2018,,,,Morton et al. 2016,5.86601526,4.724e-05,-4.724e-05,Morton et al. 2016,,,,Morton et al. 2016,1.29,0.12,-0.1,Berger et al. 2018,1.03,0.06,-0.053,Morton et al. 2016,[Fe/H],0.07,,5806.0,Kepler,Space,,0.09937888198757763,,8.053166912491121e-06,,0.08527131782945736,0.05485436893203883,,
