,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
2745,Kepler-856 b,0.888,0.078,-0.073,Berger et al. 2018,,,,Morton et al. 2016,8.02768225,2.4e-07,-2.4e-07,Holczer et al. 2016,,,,Morton et al. 2016,1.05,0.09,-0.08,Berger et al. 2018,0.96,0.045,-0.039,Morton et al. 2016,[Fe/H],0.12,,5535.0,Kepler,Space,,0.08502252252252251,,2.989654953022088e-08,,0.08095238095238094,0.04375,,
2746,Kepler-857 b,0.578,0.03,-0.027999999999999997,Berger et al. 2018,,,,Morton et al. 2016,85.35141921,1.73e-06,-1.73e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.96,0.05,-0.05,Berger et al. 2018,0.99,0.075,-0.066,Morton et al. 2016,[Fe/H],0.02,,5773.0,Kepler,Space,,0.050173010380622836,,2.0269141579749017e-08,,0.052083333333333336,0.07121212121212123,,
2747,Kepler-858 b,0.45,0.02,-0.018000000000000002,Berger et al. 2018,,,,Morton et al. 2016,76.13616356,4.16e-06,-4.16e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.91,0.04,-0.04,Morton et al. 2016,0.96,0.035,-0.039,Morton et al. 2016,[Fe/H],-0.04,,5653.0,Kepler,Space,,0.04222222222222223,,5.463894955413222e-08,,0.04395604395604395,0.038541666666666675,,
2748,Kepler-859 b,0.276,0.016,-0.013000000000000001,Morton et al. 2016,,,,Morton et al. 2016,20.38179859,2.55e-06,-2.55e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.77,0.03,-0.04,Morton et al. 2016,0.81,0.035,-0.045,Morton et al. 2016,[Fe/H],-0.02,,5020.0,Kepler,Space,,0.05253623188405797,,1.251116278448123e-07,,0.045454545454545456,0.04938271604938271,,
2749,Kepler-860 b,0.228,0.019,-0.017,Berger et al. 2018,,,,Morton et al. 2016,5.10137737,2.17e-06,-2.17e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.86,0.07,-0.06,Berger et al. 2018,1.04,0.065,-0.056,Morton et al. 2016,[Fe/H],0.09,,5836.0,Kepler,Space,,0.07894736842105264,,4.2537531388312095e-07,,0.07558139534883722,0.05817307692307692,,
2750,Kepler-861 b,0.203,0.011000000000000001,-0.012,Morton et al. 2016,,,,Morton et al. 2016,3.9496328,1.71e-06,-1.71e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.78,0.04,-0.04,Morton et al. 2016,0.82,0.037,-0.043,Morton et al. 2016,[Fe/H],0.01,,5047.0,Kepler,Space,,0.05665024630541871,,4.3295164046642514e-07,,0.05128205128205128,0.048780487804878044,,
2751,Kepler-862 b,0.19699999999999998,0.039,-0.015,Morton et al. 2016,,,,Morton et al. 2016,3.14866567,2.94e-06,-2.94e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.84,0.07,-0.05,Morton et al. 2016,0.88,0.043,-0.046,Morton et al. 2016,[Fe/H],0.04,,5333.0,Kepler,Space,,0.1370558375634518,,9.337288579133267e-07,,0.07142857142857144,0.05056818181818182,,
2752,Kepler-863 b,0.33399999999999996,0.033,-0.03,Berger et al. 2018,,,,Morton et al. 2016,15.59460242,2.92e-06,-2.92e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.27,0.12,-0.11,Berger et al. 2018,0.96,0.107,-0.068,Morton et al. 2016,[Fe/H],-0.03,,5678.0,Kepler,Space,,0.09431137724550899,,1.872442734580469e-07,,0.0905511811023622,0.09114583333333333,,
2753,Kepler-864 b,0.214,0.055999999999999994,-0.02,Morton et al. 2016,,,,Morton et al. 2016,5.83383412,5.74e-06,-5.74e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.28,0.14,-0.13,Berger et al. 2018,1.0,0.048,-0.054,Morton et al. 2016,[Fe/H],0.04,,5754.0,Kepler,Space,,0.17757009345794392,,9.839155316949602e-07,,0.10546875,0.051000000000000004,,
2754,Kepler-865 b,0.193,0.015,-0.013000000000000001,Berger et al. 2018,,,,Morton et al. 2016,14.16399178,1.45e-06,-1.45e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.81,0.06,-0.06,Berger et al. 2018,0.93,0.092,-0.065,Morton et al. 2016,[Fe/H],-0.01,,5570.0,Kepler,Space,,0.07253886010362694,,1.0237227065095064e-07,,0.07407407407407407,0.08440860215053764,,
2755,Kepler-866 b,0.145,0.006999999999999999,-0.011000000000000001,Morton et al. 2016,,,,Morton et al. 2016,2.61704164,4.44e-06,-4.44e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.71,0.03,-0.04,Morton et al. 2016,0.75,0.037,-0.046,Morton et al. 2016,[Fe/H],-0.07,,4751.0,Kepler,Space,,0.06206896551724139,,1.6965721645911602e-06,,0.04929577464788733,0.055333333333333325,,
2756,Kepler-867 b,0.414,0.037000000000000005,-0.027000000000000003,Morton et al. 2016,,,,Morton et al. 2016,150.24187578,6.83e-06,-6.83e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.91,0.06,-0.04,Morton et al. 2016,0.92,0.037,-0.038,Morton et al. 2016,[Fe/H],-0.02,,5541.0,Kepler,Space,,0.07729468599033817,,4.546002880050038e-08,,0.054945054945054944,0.040760869565217385,,
2757,Kepler-868 b,0.183,0.018000000000000002,-0.015,Morton et al. 2016,,,,Morton et al. 2016,5.03251791,2.082e-05,-2.082e-05,Morton et al. 2016,,,,Morton et al. 2016,0.89,0.09,-0.06,Morton et al. 2016,0.93,0.046,-0.06,Morton et al. 2016,[Fe/H],-0.08,,5614.0,Kepler,Space,,0.09016393442622951,,4.13709406947744e-06,,0.08426966292134831,0.05698924731182795,,
2758,Kepler-869 b,0.28800000000000003,0.024,-0.042,Berger et al. 2018,,,,Morton et al. 2016,40.42883422,5.24e-06,-5.24e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.92,0.07,-0.07,Berger et al. 2018,0.97,0.049,-0.052,Morton et al. 2016,[Fe/H],0.02,,5664.0,Kepler,Space,,0.11458333333333333,,1.2961046493415311e-07,,0.07608695652173914,0.052061855670103095,,
2759,Kepler-87 b,0.9520000000000001,0.046,-0.045,Berger et al. 2018,1.02,0.028,-0.028, Ofir et al. 2014 ,114.73656732,6.44e-06,-6.44e-06,Holczer et al. 2016,0.481,0.026,-0.028, Ofir et al. 2014 ,1.82,0.04,-0.04, Ofir et al. 2014 ,1.1,0.05,-0.05, Ofir et al. 2014 ,[Fe/H],-0.17,,5600.0,Kepler,Space,0.0,0.04779411764705882,0.027450980392156862,5.612857479027463e-08,0.056133056133056136,0.021978021978021976,0.045454545454545456,1.048,0.992
2760,Kepler-87 c,0.5479999999999999,0.026000000000000002,-0.026000000000000002, Ofir et al. 2014 ,0.02,0.003,-0.003, Ofir et al. 2014 ,191.2318,0.0015,-0.0015, Ofir et al. 2014 ,0.676,0.037,-0.04, Ofir et al. 2014 ,1.82,0.04,-0.04, Ofir et al. 2014 ,1.1,0.05,-0.05, Ofir et al. 2014 ,[Fe/H],-0.17,,5600.0,Kepler,Space,0.0,0.047445255474452566,0.15,7.843883705534331e-06,0.056952662721893484,0.021978021978021976,0.045454545454545456,0.023,0.017
2761,Kepler-870 b,0.22699999999999998,0.021,-0.018000000000000002,Berger et al. 2018,,,,Morton et al. 2016,21.35870629,7.1e-06,-7.1e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.0,0.09,-0.08,Berger et al. 2018,1.01,0.066,-0.062,Morton et al. 2016,[Fe/H],-0.01,,5857.0,Kepler,Space,,0.08590308370044056,,3.3241713723663925e-07,,0.08499999999999999,0.06336633663366337,,
2762,Kepler-871 b,0.381,0.057,-0.057999999999999996,Berger et al. 2018,,,,Morton et al. 2016,22.04592215,6.51e-06,-6.51e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.33,0.14,-0.13,Berger et al. 2018,1.11,0.089,-0.075,Morton et al. 2016,[Fe/H],0.09,,5993.0,Kepler,Space,,0.15091863517060367,,2.9529270563989545e-07,,0.10150375939849623,0.07387387387387385,,
2763,Kepler-872 b,0.147,0.026000000000000002,-0.013000000000000001,Berger et al. 2018,,,,Morton et al. 2016,2.57885507,5.17e-06,-5.17e-06,Morton et al. 2016,,,,Morton et al. 2016,0.86,0.07,-0.06,Berger et al. 2018,1.05,0.064,-0.076,Morton et al. 2016,[Fe/H],0.04,,5902.0,Kepler,Space,,0.13265306122448983,,2.0047656264762484e-06,,0.07558139534883722,0.06666666666666667,,
2764,Kepler-873 b,0.27,0.022000000000000002,-0.032,Berger et al. 2018,,,,Morton et al. 2016,20.55336572,3.83e-06,-3.83e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.05,0.09,-0.08,Berger et al. 2018,1.18,0.175,-0.088,Morton et al. 2016,[Fe/H],0.07,,6163.0,Kepler,Space,,0.1,,1.863441760428131e-07,,0.08095238095238094,0.1114406779661017,,
2765,Kepler-874 b,0.321,0.026000000000000002,-0.023,Berger et al. 2018,,,,Morton et al. 2016,40.0687652,3.02e-06,-3.02e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.15,0.09,-0.08,Berger et al. 2018,1.09,0.117,-0.091,Morton et al. 2016,[Fe/H],0.03,,6020.0,Kepler,Space,,0.0763239875389408,,7.537042843536391e-08,,0.07391304347826087,0.09541284403669725,,
2766,Kepler-875 b,0.29600000000000004,0.031,-0.055999999999999994,Berger et al. 2018,,,,Morton et al. 2016,27.50726423,4.38e-06,-4.38e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.13,0.1,-0.09,Berger et al. 2018,1.06,0.131,-0.094,Morton et al. 2016,[Fe/H],0.03,,5958.0,Kepler,Space,,0.14695945945945943,,1.592306658843623e-07,,0.084070796460177,0.10613207547169812,,
2767,Kepler-876 b,0.128,0.009000000000000001,-0.008,Morton et al. 2016,,,,Morton et al. 2016,5.14438011,2.466e-05,-2.466e-05,Morton et al. 2016,,,,Morton et al. 2016,0.77,0.03,-0.04,Morton et al. 2016,0.81,0.038,-0.043,Morton et al. 2016,[Fe/H],-0.03,,5060.0,Kepler,Space,,0.06640625,,4.7935804650329385e-06,,0.045454545454545456,0.04999999999999999,,
2768,Kepler-877 b,0.18899999999999997,0.012,-0.024,Morton et al. 2016,,,,Morton et al. 2016,18.45849295,2.84e-06,-2.84e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.81,0.05,-0.05,Morton et al. 2016,0.85,0.041,-0.052,Morton et al. 2016,[Fe/H],-0.06,,5261.0,Kepler,Space,,0.09523809523809526,,1.5385871466825248e-07,,0.06172839506172839,0.05470588235294118,,
2769,Kepler-878 b,0.172,0.011000000000000001,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,25.94218308,6.29e-06,-6.29e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.77,0.04,-0.04,Morton et al. 2016,0.81,0.036,-0.043,Morton et al. 2016,[Fe/H],-0.03,,5044.0,Kepler,Space,,0.05813953488372094,,2.424622469359275e-07,,0.051948051948051945,0.048765432098765424,,
2770,Kepler-879 b,0.23,0.04,-0.018000000000000002,Berger et al. 2018,,,,Morton et al. 2016,33.38567656,4.65e-06,-4.65e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.06,0.08,-0.07,Berger et al. 2018,1.02,0.057,-0.056,Morton et al. 2016,[Fe/H],0.05,,5792.0,Kepler,Space,,0.12608695652173912,,1.3928128704066017e-07,,0.07075471698113209,0.055392156862745096,,
2771,Kepler-880 b,0.247,0.019,-0.037000000000000005,Berger et al. 2018,,,,Morton et al. 2016,7.71468919,1.92e-06,-1.92e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.55,0.12,-0.1,Berger et al. 2018,1.46,0.233,-0.131,Morton et al. 2016,[Fe/H],0.03,,6761.0,Kepler,Space,,0.11336032388663969,,2.488758720816334e-07,,0.07096774193548387,0.12465753424657534,,
2772,Kepler-881 b,0.155,0.013000000000000001,-0.033,Berger et al. 2018,,,,Morton et al. 2016,4.44448017,2.53e-05,-2.53e-05,Morton et al. 2016,,,,Morton et al. 2016,1.09,0.09,-0.08,Berger et al. 2018,1.06,0.077,-0.069,Morton et al. 2016,[Fe/H],0.0,,5961.0,Kepler,Space,,0.14838709677419354,,5.692454242629683e-06,,0.07798165137614678,0.06886792452830189,,
2773,Kepler-882 b,0.10300000000000001,0.006,-0.005,Berger et al. 2018,,,,Morton et al. 2016,3.98953967,9.76e-06,-9.76e-06,Morton et al. 2016,,,,Morton et al. 2016,0.85,0.04,-0.03,Berger et al. 2018,0.9,0.051,-0.054,Morton et al. 2016,[Fe/H],-0.03,,5476.0,Kepler,Space,,0.053398058252427175,,2.446397531372335e-06,,0.0411764705882353,0.05833333333333333,,
2774,Kepler-883 b,0.18100000000000002,0.01,-0.008,Berger et al. 2018,,,,Morton et al. 2016,12.98498151,3.36e-06,-3.36e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.27,0.06,-0.05,Berger et al. 2018,1.06,0.048,-0.047,Morton et al. 2016,[Fe/H],-0.13,,6116.0,Kepler,Space,,0.049723756906077346,,2.587604762788761e-07,,0.04330708661417323,0.04481132075471698,,
2775,Kepler-884 b,0.11,0.004,-0.004,Morton et al. 2016,,,,Morton et al. 2016,5.69917281,3.44e-06,-3.44e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.94,0.03,-0.03,Morton et al. 2016,1.0,0.028,-0.029,Morton et al. 2016,[Fe/H],0.05,,5715.0,Kepler,Space,,0.03636363636363636,,6.035963664698913e-07,,0.031914893617021274,0.0285,,
2776,Kepler-885 b,0.23199999999999998,0.015,-0.035,Berger et al. 2018,,,,Morton et al. 2016,18.11470018,2.83e-06,-2.83e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.42,0.06,-0.06,Berger et al. 2018,1.21,0.069,-0.046,Morton et al. 2016,[Fe/H],0.11,,6187.0,Kepler,Space,,0.10775862068965518,,1.5622670935092452e-07,,0.04225352112676056,0.047520661157024795,,
2777,Kepler-886 b,0.11199999999999999,0.006,-0.005,Berger et al. 2018,,,,Morton et al. 2016,6.24141958,5.52e-06,-5.52e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.99,0.04,-0.04,Berger et al. 2018,1.1,0.098,-0.081,Morton et al. 2016,[Fe/H],-0.01,,6098.0,Kepler,Space,,0.049107142857142856,,8.844141832233621e-07,,0.04040404040404041,0.08136363636363636,,
2778,Kepler-887 b,0.171,0.009000000000000001,-0.008,Berger et al. 2018,,,,Morton et al. 2016,20.42200166,6.78e-06,-6.78e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.39,0.06,-0.06,Berger et al. 2018,1.19,0.052,-0.039,Morton et al. 2016,[Fe/H],0.08,,6194.0,Kepler,Space,,0.049707602339181284,,3.319948804665801e-07,,0.04316546762589928,0.03823529411764706,,
2779,Kepler-887 c,0.107,0.006,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,7.63846023,4.957e-05,-4.957e-05,Morton et al. 2016,,,,Morton et al. 2016,1.39,0.06,-0.06,Berger et al. 2018,1.19,0.052,-0.039,Morton et al. 2016,[Fe/H],0.08,,6194.0,Kepler,Space,,0.06074766355140187,,6.4895277984578845e-06,,0.04316546762589928,0.03823529411764706,,
2780,Kepler-888 b,0.157,0.006999999999999999,-0.005,Morton et al. 2016,,,,Morton et al. 2016,70.69771113,5.95e-06,-5.95e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.9,0.03,-0.03,Morton et al. 2016,0.97,0.03,-0.03,Morton et al. 2016,[Fe/H],-0.21,,5875.0,Kepler,Space,,0.03821656050955414,,8.416114050791619e-08,,0.03333333333333333,0.030927835051546393,,
2781,Kepler-889 b,0.111,0.006999999999999999,-0.006,Berger et al. 2018,,,,Morton et al. 2016,3.744439,1.366e-05,-1.366e-05,Morton et al. 2016,,,,Morton et al. 2016,1.47,0.06,-0.06,Berger et al. 2018,1.14,0.065,-0.049,Morton et al. 2016,[Fe/H],0.19,,5961.0,Kepler,Space,,0.05855855855855856,,3.6480765209421224e-06,,0.04081632653061224,0.05,,
2782,Kepler-890 b,0.955,0.085,-0.07400000000000001,Berger et al. 2018,,,,Morton et al. 2016,52.75874521,6.1e-07,-6.1e-07,Holczer et al. 2016,,,,Morton et al. 2016,1.39,0.12,-0.11,Berger et al. 2018,1.09,0.098,-0.069,Morton et al. 2016,[Fe/H],0.09,,5954.0,Kepler,Space,,0.08324607329842934,,1.1562064214604924e-08,,0.08273381294964029,0.07660550458715597,,
2783,Kepler-891 b,0.5720000000000001,0.13,-0.054000000000000006,Morton et al. 2016,,,,Morton et al. 2016,53.44950392,1.05e-06,-1.05e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.07,0.24,-0.1,Morton et al. 2016,1.06,0.076,-0.056,Morton et al. 2016,[Fe/H],0.09,,5887.0,Kepler,Space,,0.1608391608391608,,1.964470992231428e-08,,0.1588785046728972,0.062264150943396226,,
2784,Kepler-892 b,0.251,0.033,-0.024,Morton et al. 2016,,,,Morton et al. 2016,13.75215959,2.99e-06,-2.99e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.72,0.02,-0.04,Morton et al. 2016,0.75,0.032,-0.04,Morton et al. 2016,[Fe/H],-0.04,,4747.0,Kepler,Space,,0.11354581673306774,,2.1742039716978009e-07,,0.041666666666666664,0.04800000000000001,,
2785,Kepler-893 b,0.29100000000000004,0.025,-0.045,Berger et al. 2018,,,,Morton et al. 2016,6.33856209,2.28e-06,-2.28e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.01,0.08,-0.08,Berger et al. 2018,1.0,0.053,-0.061,Morton et al. 2016,[Fe/H],-0.03,,5820.0,Kepler,Space,,0.12027491408934708,,3.5970303163820556e-07,,0.07920792079207921,0.056999999999999995,,
2786,Kepler-894 b,0.23600000000000002,0.034,-0.021,Berger et al. 2018,,,,Morton et al. 2016,9.80322678,3.21e-06,-3.21e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.88,0.07,-0.07,Berger et al. 2018,0.87,0.061,-0.069,Morton et al. 2016,[Fe/H],-0.25,,5603.0,Kepler,Space,,0.11652542372881357,,3.274432053891546e-07,,0.07954545454545456,0.07471264367816093,,
2787,Kepler-895 b,0.13699999999999998,0.008,-0.006,Morton et al. 2016,,,,Morton et al. 2016,2.80624233,8.17e-06,-8.17e-06,Morton et al. 2016,,,,Morton et al. 2016,0.61,0.02,-0.02,Morton et al. 2016,0.65,0.029,-0.028,Morton et al. 2016,[Fe/H],-0.16,,4315.0,Kepler,Space,,0.05109489051094891,,2.911366531913158e-06,,0.03278688524590164,0.04384615384615385,,
2788,Kepler-896 b,0.226,0.016,-0.017,Morton et al. 2016,,,,Morton et al. 2016,144.55464455,2.385e-05,-2.385e-05,Holczer et al. 2016,,,,Morton et al. 2016,0.81,0.05,-0.06,Morton et al. 2016,0.84,0.042,-0.048,Morton et al. 2016,[Fe/H],-0.1,,5262.0,Kepler,Space,,0.07300884955752213,,1.6498951019004113e-07,,0.06790123456790123,0.05357142857142857,,
2789,Kepler-897 b,0.213,0.059000000000000004,-0.022000000000000002,Morton et al. 2016,,,,Morton et al. 2016,8.04730283,5.11e-06,-5.11e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.42,0.12,-0.11,Berger et al. 2018,1.03,0.062,-0.065,Morton et al. 2016,[Fe/H],0.04,,5839.0,Kepler,Space,,0.19014084507042256,,6.349953652732117e-07,,0.08098591549295775,0.0616504854368932,,
2790,Kepler-898 b,0.133,0.027000000000000003,-0.008,Morton et al. 2016,,,,Morton et al. 2016,5.8706191,2.07e-05,-2.07e-05,Morton et al. 2016,,,,Morton et al. 2016,0.62,0.02,-0.02,Morton et al. 2016,0.65,0.026,-0.026,Morton et al. 2016,[Fe/H],-0.06,,4223.0,Kepler,Space,,0.13157894736842105,,3.5260335660339467e-06,,0.03225806451612903,0.039999999999999994,,
2791,Kepler-899 b,0.266,0.024,-0.021,Berger et al. 2018,,,,Morton et al. 2016,19.17896177,5.38e-06,-5.38e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.1,0.09,-0.08,Berger et al. 2018,0.93,0.083,-0.065,Morton et al. 2016,[Fe/H],-0.06,,5595.0,Kepler,Space,,0.08458646616541353,,2.805157059343781e-07,,0.07727272727272726,0.07956989247311828,,
2792,Kepler-9 b,0.722,0.024,-0.022000000000000002,Morton et al. 2016,0.1384,0.0015,-0.0015,Wang et al. 2018,19.27082403,4.31e-06,-4.31e-06,Morton et al. 2016,0.14,0.001,-0.001, Holman et al. 2010 ,0.96,0.02,-0.02,Borsato et al. 2019,1.04,0.029,-0.027,Morton et al. 2016,[Fe/H],0.05,,5774.0,Kepler,Space,0.0,0.03185595567867036,0.01083815028901734,2.2365416202702986e-07,0.007142857142857143,0.020833333333333336,0.02692307692307692,0.1399,0.1369
2793,Kepler-9 c,0.733,0.032,-0.031,Berger et al. 2018,0.094,0.002,-0.002,Borsato et al. 2014,38.94980851,0.0002294,-0.0002294,Holczer et al. 2016,0.225,0.001,-0.001, Holman et al. 2010 ,0.96,0.02,-0.02,Borsato et al. 2019,1.022,0.029,-0.039,Borsato et al. 2019,[Fe/H],0.05,,5774.0,Kepler,Space,0.0,0.042974079126875855,0.02127659574468085,5.889631009125596e-06,0.0044444444444444444,0.020833333333333336,0.03326810176125245,0.096,0.092
2794,Kepler-9 d,0.136,0.008,-0.006,Berger et al. 2018,,,,Torres et al. 2011,1.592851,4.5e-05,-4.5e-05, Torres et al. 2011 ,0.0273,0.00042,-0.00043, Torres et al. 2011 ,0.98,0.04,-0.04,Berger et al. 2018,1.07,0.05,-0.05, Torres et al. 2011 ,[Fe/H],0.05,,5774.0,Kepler,Space,,0.051470588235294115,,2.825123002716513e-05,0.015567765567765568,0.04081632653061225,0.04672897196261682,,
2795,Kepler-90 i,0.11800000000000001,0.019,-0.019,Shallue &amp; Vanderburg 2018,,,,Shallue &amp; Vanderburg 2018,14.44912,0.0002,-0.0002,Shallue &amp; Vanderburg 2018,,,,Shallue &amp; Vanderburg 2018,1.29,0.17,-0.17,Shallue &amp; Vanderburg 2018,1.12,0.046,-0.046,Shallue &amp; Vanderburg 2018,[M/H],-0.12,,6080.0,Kepler,Space,,0.16101694915254236,,1.3841673402947723e-05,,0.13178294573643412,0.041071428571428564,,
2796,Kepler-900 b,0.18600000000000003,0.011000000000000001,-0.03,Morton et al. 2016,,,,Morton et al. 2016,6.99128645,2.6e-06,-2.6e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.73,0.03,-0.03,Morton et al. 2016,0.78,0.034,-0.041,Morton et al. 2016,[Fe/H],-0.01,,4836.0,Kepler,Space,,0.11021505376344085,,3.718914993105454e-07,,0.0410958904109589,0.04807692307692308,,
2797,Kepler-901 b,0.122,0.006,-0.005,Morton et al. 2016,,,,Morton et al. 2016,3.51749079,1.27e-06,-1.27e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.57,0.03,-0.02,Morton et al. 2016,0.59,0.036,-0.036,Morton et al. 2016,[Fe/H],-0.3,,4184.0,Kepler,Space,,0.045081967213114756,,3.610528287978829e-07,,0.04385964912280702,0.06101694915254237,,
2798,Kepler-902 b,0.29,0.02,-0.017,Berger et al. 2018,,,,Morton et al. 2016,40.10982208,3.76e-06,-3.76e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.22,0.07,-0.07,Berger et al. 2018,0.95,0.042,-0.051,Morton et al. 2016,[Fe/H],0.0,,5647.0,Kepler,Space,,0.06379310344827588,,9.374262474913477e-08,,0.05737704918032788,0.048947368421052635,,
2799,Kepler-903 b,0.265,0.013999999999999999,-0.031,Berger et al. 2018,,,,Morton et al. 2016,10.3506868,8.76e-06,-8.76e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.63,0.08,-0.08,Berger et al. 2018,0.98,0.05,-0.051,Morton et al. 2016,[Fe/H],0.05,,5682.0,Kepler,Space,,0.08490566037735849,,8.46320651881767e-07,,0.049079754601226995,0.051530612244897966,,
2800,Kepler-903 c,0.226,0.036000000000000004,-0.04,Morton et al. 2016,,,,Morton et al. 2016,62.92279994,2.019e-05,-2.019e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.63,0.08,-0.08,Berger et al. 2018,0.98,0.05,-0.051,Morton et al. 2016,[Fe/H],0.05,,5682.0,Kepler,Space,,0.168141592920354,,3.2086938310520454e-07,,0.049079754601226995,0.051530612244897966,,
2801,Kepler-904 b,0.126,0.01,-0.01,Berger et al. 2018,,,,Morton et al. 2016,3.02166863,8.93e-06,-8.93e-06,Morton et al. 2016,,,,Morton et al. 2016,1.06,0.08,-0.07,Berger et al. 2018,1.16,0.144,-0.086,Morton et al. 2016,[Fe/H],0.05,,6160.0,Kepler,Space,,0.07936507936507936,,2.9553207493834286e-06,,0.07075471698113209,0.09913793103448276,,
2802,Kepler-905 b,0.126,0.004,-0.004,Morton et al. 2016,,,,Morton et al. 2016,5.08274068,2.18e-06,-2.18e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.86,0.02,-0.02,Morton et al. 2016,0.95,0.019,-0.025,Morton et al. 2016,[Fe/H],0.09,,5461.0,Kepler,Space,,0.031746031746031744,,4.2890246369995803e-07,,0.023255813953488372,0.023157894736842106,,
2803,Kepler-906 b,0.188,0.009000000000000001,-0.009000000000000001,Morton et al. 2016,,,,Morton et al. 2016,41.69797271,3.91e-06,-3.91e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.02,0.04,-0.04,Morton et al. 2016,1.06,0.039,-0.042,Morton et al. 2016,[Fe/H],-0.09,,6035.0,Kepler,Space,,0.04787234042553192,,9.376954671617175e-08,,0.0392156862745098,0.03820754716981132,,
2804,Kepler-907 b,0.107,0.005,-0.004,Morton et al. 2016,,,,Morton et al. 2016,15.86627596,4.05e-06,-4.05e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.38,0.06,-0.05,Morton et al. 2016,1.08,0.073,-0.064,Morton et al. 2016,[Fe/H],-0.15,,6106.0,Kepler,Space,,0.042056074766355145,,2.5525838641722455e-07,,0.03985507246376812,0.06342592592592593,,
2805,Kepler-908 b,0.11900000000000001,0.006999999999999999,-0.005,Berger et al. 2018,,,,Morton et al. 2016,1.34060748,8.3e-07,-8.3e-07,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.29,0.06,-0.05,Berger et al. 2018,1.11,0.04,-0.039,Morton et al. 2016,[Fe/H],0.15,,5973.0,Kepler,Space,,0.050420168067226885,,6.191223101336119e-07,,0.04263565891472868,0.03558558558558558,,
2806,Kepler-909 b,0.131,0.013999999999999999,-0.01,Morton et al. 2016,,,,Morton et al. 2016,13.93296076,4.86e-06,-4.86e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.21,0.05,-0.05,Berger et al. 2018,1.17,0.042,-0.036,Morton et al. 2016,[Fe/H],0.08,,6154.0,Kepler,Space,,0.0916030534351145,,3.4881315491482085e-07,,0.04132231404958678,0.03333333333333333,,
